contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Expiration Date
AAPL231027C00060000,2023-10-19 17:23:24+00:00,60.0,117.47,113.25,113.6,0.0,0.0,,1,4.375004531249999,True,REGULAR,USD,2023-10-27
AAPL231027C00075000,2023-09-20 18:05:36+00:00,75.0,102.1,97.6,98.3,0.0,0.0,,40,1.0000000000000003e-05,True,REGULAR,USD,2023-10-27
AAPL231027C00080000,2023-09-26 14:50:09+00:00,80.0,93.5,93.3,93.6,0.0,0.0,2.0,0,2.43750390625,True,REGULAR,USD,2023-10-27
AAPL231027C00095000,2023-10-16 14:00:11+00:00,95.0,83.0,78.25,78.6,0.0,0.0,1.0,1,2.5898472753906248,True,REGULAR,USD,2023-10-27
AAPL231027C00100000,2023-10-20 19:11:56+00:00,100.0,73.5,73.3,73.65,0.0,0.0,107.0,63,1.9921875390625,True,REGULAR,USD,2023-10-27
AAPL231027C00105000,2023-10-20 16:26:58+00:00,105.0,68.8,68.35,68.6,0.0,0.0,1.0,5,1.8281258593749998,True,REGULAR,USD,2023-10-27
AAPL231027C00110000,2023-10-24 14:51:56+00:00,110.0,62.83,63.3,63.65,-4.279999,-6.3775873,9.0,2,1.671876640625,True,REGULAR,USD,2023-10-27
AAPL231027C00115000,2023-09-07 19:45:05+00:00,115.0,63.5,62.7,63.05,0.0,0.0,,0,3.8281254296875,True,REGULAR,USD,2023-10-27
AAPL231027C00120000,2023-10-23 15:24:47+00:00,120.0,52.9,53.3,53.65,0.0,0.0,2.0,36,1.3750031249999999,True,REGULAR,USD,2023-10-27
AAPL231027C00125000,2023-10-20 19:22:48+00:00,125.0,48.48,48.3,48.65,0.0,0.0,202.0,217,1.2343788281249999,True,REGULAR,USD,2023-10-27
AAPL231027C00130000,2023-10-20 19:34:12+00:00,130.0,43.34,43.3,43.65,0.0,0.0,1.0,73,1.1015669921875002,True,REGULAR,USD,2023-10-27
AAPL231027C00135000,2023-10-20 17:23:51+00:00,135.0,39.66,38.35,38.65,0.0,0.0,3.0,19,1.0390673046875003,True,REGULAR,USD,2023-10-27
AAPL231027C00140000,2023-10-24 19:43:32+00:00,140.0,33.7,33.35,33.65,2.3000011,7.3248444,2.0,97,0.9023447265625,True,REGULAR,USD,2023-10-27
AAPL231027C00145000,2023-10-24 17:50:12+00:00,145.0,27.18,28.45,28.6,-2.5,-8.423181,1.0,30,0.8125018749999999,True,REGULAR,USD,2023-10-27
AAPL231027C00147000,2023-10-13 13:55:06+00:00,147.0,34.5,26.15,26.7,0.0,0.0,,2,0.914063359375,True,REGULAR,USD,2023-10-27
AAPL231027C00148000,2023-10-17 16:22:40+00:00,148.0,30.36,25.15,25.7,0.0,0.0,1.0,3,0.8828136718749999,True,REGULAR,USD,2023-10-27
AAPL231027C00149000,2023-10-24 14:15:46+00:00,149.0,23.45,24.35,24.7,-5.8899994,-20.074982,2.0,1,0.70312796875,True,REGULAR,USD,2023-10-27
AAPL231027C00150000,2023-10-24 19:42:19+00:00,150.0,23.7,23.45,23.6,0.55000114,2.375815,14.0,245,0.6757844921875001,True,REGULAR,USD,2023-10-27
